code;name
14417;GB/T 8162:2018 42х10 ст20
14130;GB/T 8162:2018 25х 4 ст20
11788;ДСТУ 8939:2019 18х 2 ст20
7530;Труба проф. 80х80х 8 ст20
13992;GB/T 8162:2018 25х 6 ст20
7120;ГОСТ 8734 12х 2 ст45
13807;GB/T 8162:2018 28х 4 ст20
10710;ДСТУ 8938:2019 108х20 ст20
14786;ДСТУ 8938:2019 140х10 ст20
12047;ГОСТ 8732 219х30 ст20
10759;ДСТУ 8938:2019 146х14 ст20
11064;ДСТУ 8939:2019 40х 2 ст20
14809;ГАРЯЧА GB/T 8162:2018 32х 2 ст20
7439;Труба проф. 120х120х 6 ст20
13767;Труба проф. 200х150х8 стQ345B
13575;ДСТУ 8938:2019 133х32 ст20
7548;Труба проф. 60х60х 5 ст35
14822;ГАРЯЧА GB/T 8162:2018 54х12 ст20
15030;Труби стальні холоднодеформовані 54х12 ст20
11207;ДСТУ 8938:2019 70х 5 ст20
11097;ДСТУ 8938:2019 245х 7 ст20
10687;ДСТУ 8938:2019 273х 7 ст20
14685;ДСТУ 8938:2019 168х 6 ст20
14966;ГАРЯЧА GB/T 8162:2018 48х 5 ст20
7633;Труба проф. 70х50х 6 ст20
14197;GB/T 8162:2018 27х 2 ст20
11794;ДСТУ 8939:2019 20х 4 ст20
10718;ДСТУ 8938:2019 127х 6 ст20
14049;ДСТУ 8938:2019 63.5х 6 ст20
13810;GB/T 8162:2018 50х10 ст20
14790;ГОСТ 8732 127х 8 ст20
7555;Труба проф. 50х50х 6 ст20
13783;ДСТУ 8938:2019 95х16 ст45
14829;ГАРЯЧА GB/T 8162:2018 42х 6 ст20
11804;ДСТУ 8939:2019 28х 6 ст20
6569;ГОСТ 8732 102х24 ст35
11796;ДСТУ 8939:2019 21х 3 ст20
10584;ДСТУ 8938:2019 33.7х 3 ст20
14274;GB/T 8162:2018 38х 3 ст20
14017;ДСТУ 8938:2019 203х10 ст20
8552;Порізка 11 різов ( зг ДКПП 25.62.20-00.00)
11656;ГОСТ 8732 38х10 ст20
7632;Труба проф. 70х50х 5 ст20
10645;ДСТУ 8938:2019 76х12 ст20
11461;ДСТУ 8938:2019 140х22 ст20
11600;ДСТУ 8938:2019 83х22 ст20
14487;ДСТУ 8938:2019 76х20 ст20
14821;ГАРЯЧА GB/T 8162:2018 54х 5 ст20
14884;ДСТУ 8938:2019 73х20 ст20
13955;GB/T 8162:2018 57х 8 ст20
7603;Труба проф. 100х60х 8 ст20
12369;ДСТУ 8938:2019 73х16 ст45
12240;ГОСТ 8734 57х12 ст20
14876;ГОСТ 8732 140х 8 ст20
7610;Труба проф. 100х50х 8 ст20
13080;Порізка 14 різ ( зг ДКПП 25.62.20-00.00)
5968;ГОСТ 8732 180х16 ст20
13713;ДСТУ 8938:2019 299х60 ст45
14893;ДСТУ 8938:2019 325х35 ст20
10771;ДСТУ 8938:2019 219х45 ст20
10689;ДСТУ 8938:2019 299х60 ст20
10873;ДСТУ 8938:2019 159х36 ст20
11558;ДСТУ 8938:2019 273х45 ст20
12041;ГОСТ 8732 219х10 ст20
12315;ДСТУ 8938:2019 203х36 ст20
13769;ДСТУ 8938:2019 121х30 ст20
13923;ДСТУ 8938:2019 245х35 ст20
14213;ДСТУ 8938:2019 95х22 ст20
14780;ДСТУ 8938:2019 140х30 ст20
12991;ГОСТ 8732 168х12 ст20
13572;ГОСТ 8732 159х14 ст20
12958;ДСТУ 8938:2019 377х75 ст20
14214;ДСТУ 8938:2019 299х36 ст20
14898;ДСТУ 8938:2019 457х40 ст20
7229;ГОСТ 8734 48.3х 4 ст20
9323;ГОСТ 8732 219х18 ст20
10791;ДСТУ 8938:2019 73х 6 ст20
10840;ДСТУ 8938:2019 159х22 ст20
10845;ДСТУ 8938:2019 273х20 ст20
11154;ДСТУ 8938:2019 180х22 ст20
11256;ДСТУ 8938:2019 180х25 ст20
12257;ГОСТ 8734 68х 5 ст20
13828;GB/T 8162:2018 60х 4 ст20
14281;ГОСТ 8732 219х18 ст20
14416;ДСТУ 8938:2019 194х16 ст20
11281;ДСТУ 8938:2019 140х14 ст20
14678;GB/T 8162:2018 68х12 ст20
10968;ДСТУ 8938:2019 127х 8 ст20
11203;ДСТУ 8938:2019 140х12 ст20
12314;ДСТУ 8938:2019 203х20 ст20
13751;ДСТУ 8938:2019 95х14 ст20
14253;ДСТУ 8938:2019 152х10 ст20
12034;ГОСТ 8732 203х50 ст45
14039;ДСТУ 8938:2019 180х20 ст20
14072;ДСТУ 8938:2019 146х16 ст20
14554;ДСТУ 8938:2019 180х20 ст20
14421;GB/T 8162:2018 68х14 ст20
15103;ГАРЯЧА GB/T 8162:2018 54х10 ст20
12432;ДСТУ 8939:2019 133х16 ст20
10561;ДСТУ 8938:2019 194х25 ст20
10772;ДСТУ 8938:2019 245х14 ст20
12327;ДСТУ 8938:2019 245х20 ст20
14112;ДСТУ 8938:2019 194х30 ст20
14165;ГОСТ 8732 245х14 ст20
14669;GB/T 8162:2018 89х12 ст20
15044;ДСТУ 8938:2019 245х55 ст20
11834;ГОСТ 8734 102х16 ст20
14895;ДСТУ 8938:2019 325х60 ст20
14896;ДСТУ 8938:2019 351х35 ст20
7359;ГОСТ 8734 73х 4 ст10
10457;ДСТУ 8938:2019 114х12 ст35
7526;"Труба проф. 80х80х 4,5 ст20"
7744;Труба проф. 60х40х 5 ст20
14968;ГАРЯЧА GB/T 8162:2018 95х 6 ст20
12708;ГОСТ 8732 194х40 ст20
14746;ДСТУ 8938:2019 159х30 ст20
12212;ГОСТ 8732 95х16 ст35
7736;Труба проф. 140х60х 8 ст20
14643;GB/T 8162:2018 10х 1.5 ст20
11853;ГОСТ 8734 60х10 ст20
13829;GB/T 8162:2018 60х 5 ст20
11673;ГОСТ 8734 10х 3 ст20
10937;ДСТУ 8938:2019 219х12 ст20
13970;GB/T 8162:2018 102х 6 ст20
11101;ДСТУ 8938:2019 180х12 ст20
11723;ГОСТ 8734 32х 3 ст20
13027;ДСТУ 8939:2019 27х 3.2 ст20
14842;ГАРЯЧА GB/T 8162:2018 83х 8 ст20
10701;ДСТУ 8938:2019 76х10 ст35
11724;ГОСТ 8734 32х 4 ст20
11096;ДСТУ 8938:2019 108х16 ст35
12404;ДСТУ 8939:2019 108х16 ст45
13963;GB/T 8162:2018 60х 6 ст20
11047;ДСТУ 8939:2019 10х 1.5 ст20
11715;ГОСТ 8734 28х 3 ст20
14654;GB/T 8162:2018 21х 2.5 ст20
10804;ДСТУ 8938:2019 121х25 ст35
14523;GB/T 8162:2018 50х 6 ст45
7671;Труба проф. 200х160х 6 ст20
12407;ДСТУ 8939:2019 108х28 ст20
13993;GB/T 8162:2018 25х 7 ст20
14532;GB/T 8162:2018 102х 5 ст20
13990;GB/T 8162:2018 20х 1.5 ст20
14647;GB/T 8162:2018 16х 1.5 ст20
11792;ДСТУ 8939:2019 20х 2 ст20
11327;ДСТУ 8938:2019 194х 6 ст20
12122;ГОСТ 8732 42х 4.5 ст20
12536;ДСТУ 8939:2019 325х45 ст20
13705;ДСТУ 8938:2019 133х20 ст20
14630;GB/T 8162:2018 73х 6 ст20
14019;ГОСТ 8732 114х10 ст20
14121;GB/T 8162:2018 38х 8 ст20
14518;GB/T 8162:2018 32х 8 ст20
14637;GB/T 8162:2018 102х 8 ст20
13793;ГОСТ 8732 114х 6 ст20
14508;GB/T 8162:2018 152х 6 ст20
11831;ГОСТ 8732 630х50 ст20
10574;ДСТУ 8938:2019 152х 6 ст20
6213;ГОСТ 8732 273х30 ст20
6401;ГОСТ 8732 377х25 ст20
11349;ДСТУ 8938:2019 299х25 ст20
11553;ДСТУ 8938:2019 232х40 ст20
11889;ДСТУ 8939:2019 114х25 ст20
12295;ДСТУ 8938:2019 133х25 ст20
14308;ГОСТ 8732 273х22 ст20
15033;ДСТУ 8938:2019 194х24 ст20
10592;ДСТУ 8938:2019 42х 4 ст20
13898;GB/T 8162:2018 108х 8 ст20
12344;ДСТУ 8938:2019 351х45 ст20
14109;ДСТУ 8938:2019 102х16 ст45
14003;GB/T 8162:2018 57х 5 ст20
14120;GB/T 8162:2018 38х 6 ст20
14904;ГАРЯЧА GB/T 8162:2018 57х 5 ст20
10638;ДСТУ 8938:2019 273х 8 ст20
11131;ДСТУ 8938:2019 325х 8 ст20
7524;Труба проф. 80х80х10 ст09Г2С
7707;Труба проф. 150х100х10 ст20
11603;ДСТУ 8938:2019 89х16 ст45
7717;Труба проф. 140х120х 5 ст20
14061;ДСТУ 8938:2019 83х 6 ст09Г2С
12055;ГОСТ 8732 245х10 ст20
12906;ДСТУ 8939:2019 45х 6 ст20
11260;ДСТУ 8938:2019 51х 6 ст20
14139;GB/T 8162:2018 51х10 ст20
14167;ДСТУ 8938:2019 245х60 ст45
9630;ДСТУ 8938:2019 51х 4 ст20
7604;Труба проф. 100х50х 5 ст09Г2С
14797;ГАРЯЧА GB/T 8162:2018 17х 3 ст20
7520;Труба проф. 80х80х 4 ст09Г2С
7607;Труба проф. 100х50х 5 ст20
7677;Труба проф. 200х100х10 ст09Г2С
13927;ДСТУ 8938:2019 325х10 ст20
14435;ДСТУ 8938:2019 219х10 ст09Г2С
14645;GB/T 8162:2018 12х 2 ст20
7705;Труба проф. 150х100х 6 ст20
10761;ДСТУ 8938:2019 152х14 ст20
8244;Труба проф. 180х80х 5 ст20
14879;ДСТУ 8938:2019 83х16 ст20
13796;ДСТУ 8939:2019 28х 4 ст20
13812;GB/T 8162:2018 76х 6 ст20
14913;ГАРЯЧА GB/T 8162:2018 76х 6 ст20
14798;ГАРЯЧА GB/T 8162:2018 17х 3.5 ст20
13962;GB/T 8162:2018 38х 4 ст20
14962;ГАРЯЧА GB/T 8162:2018 70х 8 ст20
14275;GB/T 8162:2018 45х 4 ст20
14813;ГАРЯЧА GB/T 8162:2018 36х 5 ст20
11005;ДСТУ 8938:2019 95х12 ст20
13958;GB/T 8162:2018 65х10 ст20
14953;ГАРЯЧА GB/T 8162:2018 30х 2 ст20
11987;ГОСТ 8732 159х 8 ст20
10548;ДСТУ 8938:2019 219х 8 ст20
10556;ДСТУ 8938:2019 89х 6 ст20
10768;ДСТУ 8938:2019 219х 6 ст20
7577;Труба проф. 120х80х 6 ст20
13730;ГОСТ 8732 146х 8 ст20
14661;GB/T 8162:2018 30х 1.5 ст20
14641;GB/T 8162:2018 63х 4 ст20
14845;ГАРЯЧА GB/T 8162:2018 63х 4 ст20
7797;Труба проф. 61.5х61.5х 8 ст20
14527;GB/T 8162:2018 57х 8 ст45
7649;Труба проф. 160х120х 5 ст09Г2С
10847;ДСТУ 8938:2019 140х16 ст20
14815;ГАРЯЧА GB/T 8162:2018 40х 1.5 ст20
14795;ГАРЯЧА GB/T 8162:2018 16х 2 ст20
14651;GB/T 8162:2018 20х 2.5 ст20
10760;ДСТУ 8938:2019 152х12 ст20
14655;GB/T 8162:2018 25х 1.5 ст20
11418;ДСТУ 8938:2019 63.5х 3.5 ст20
10443;ДСТУ 8938:2019 133х 6 ст20
10553;ДСТУ 8938:2019 102х12 ст20
